날짜,부동산지역,부동산 유형,면적,부동산수(개),면적비율(%)
202305,서울특별시 용산구,집합건물,136㎡ ~ 198㎡,6072,7.25
202305,서울특별시 용산구,집합건물,199㎡ 이상,2782,3.32
202305,서울특별시 용산구,집합건물,기타,2267,2.71
202305,서울특별시 은평구,집합건물,전체,170896,100.00
202305,서울특별시 은평구,집합건물,0 ~ 40㎡,53482,31.30
202305,서울특별시 은평구,집합건물,41㎡ ~ 85㎡,102255,59.83
202305,서울특별시 은평구,집합건물,86㎡ ~ 135㎡,9752,5.71
202305,서울특별시 은평구,집합건물,136㎡ ~ 198㎡,1413,0.83
202305,서울특별시 은평구,집합건물,199㎡ 이상,336,0.20
202305,서울특별시 은평구,집합건물,기타,3658,2.14
202305,서울특별시 종로구,집합건물,전체,58283,100.00
202305,서울특별시 종로구,집합건물,0 ~ 40㎡,25012,42.91
202305,서울특별시 종로구,집합건물,41㎡ ~ 85㎡,24309,41.71
202305,서울특별시 종로구,집합건물,86㎡ ~ 135㎡,4641,7.96
202305,서울특별시 종로구,집합건물,136㎡ ~ 198㎡,2317,3.98
202305,서울특별시 종로구,집합건물,199㎡ 이상,1500,2.57
202305,서울특별시 종로구,집합건물,기타,504,0.86
202305,서울특별시 중구,집합건물,전체,90676,100.00
202305,서울특별시 중구,집합건물,0 ~ 40㎡,59564,65.69
202305,서울특별시 중구,집합건물,41㎡ ~ 85㎡,21531,23.74
202305,서울특별시 중구,집합건물,86㎡ ~ 135㎡,5055,5.57
202305,서울특별시 중구,집합건물,136㎡ ~ 198㎡,1476,1.63
202305,서울특별시 중구,집합건물,199㎡ 이상,1276,1.41
202305,서울특별시 중구,집합건물,기타,1774,1.96
202305,서울특별시 중랑구,집합건물,전체,112747,100.00
202305,서울특별시 중랑구,집합건물,0 ~ 40㎡,36357,32.25
202305,서울특별시 중랑구,집합건물,41㎡ ~ 85㎡,67167,59.57
202305,서울특별시 중랑구,집합건물,86㎡ ~ 135㎡,7512,6.66
202305,서울특별시 중랑구,집합건물,136㎡ ~ 198㎡,444,0.39
202305,서울특별시 중랑구,집합건물,199㎡ 이상,357,0.32
202305,서울특별시 중랑구,집합건물,기타,910,0.81
