Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
0,0,0,0,0,국가유공자,5,29,25,29,23,24,24,26,25,29,27,28,30,31,34,27,32,36,28,27,16,0,0,0
0,0,0,0,0,어린이,0,2,30,24,9,24,21,24,27,15,13,16,16,18,16,15,17,18,17,38,28,0,0,0
0,0,0,0,0,외국인,0,80,48,31,25,37,25,45,26,29,34,30,35,30,33,34,38,32,34,33,0,0,0,0
0,0,0,0,0,일반인,45,39,35,34,28,27,29,30,32,32,34,37,40,42,42,40,40,40,40,36,30,35,36,33
0,0,0,0,0,장애인,39,45,30,29,25,26,28,30,31,30,33,34,36,35,36,34,35,36,33,32,27,27,3,26
0,0,0,0,0,청소년,40,57,33,13,15,21,21,20,23,24,25,19,21,26,30,26,29,30,29,26,17,18,0,11
0,0,0,2023-12-07(목),맑음,경로,42,38,33,30,30,28,28,28,29,32,33,34,35,34,35,35,37,39,35,31,26,35,48,40
0,0,0,0,0,국가유공자,5,29,24,32,24,27,23,26,26,26,28,28,36,30,34,28,33,32,36,26,19,0,0,29
0,0,0,0,0,어린이,0,21,42,24,9,24,21,17,24,18,12,13,16,17,15,15,19,16,18,18,0,0,0,0
0,0,0,0,0,외국인,0,0,0,47,36,33,28,31,39,32,28,28,37,35,41,32,26,31,51,32,42,0,0,0
0,0,0,0,0,일반인,43,39,34,34,28,27,29,30,32,32,34,36,40,41,41,39,41,41,40,36,30,33,35,32
0,0,0,0,0,장애인,36,34,30,27,27,26,29,30,29,32,32,33,35,35,36,35,35,37,34,32,21,23,48,52
0,0,0,0,0,청소년,15,49,30,14,20,19,18,23,22,22,24,23,21,25,28,25,30,31,29,27,22,23,56,68
0,0,0,2023-12-08(금),맑음,경로,39,36,33,30,29,28,28,28,29,30,32,34,36,35,35,36,36,37,39,30,26,31,32,28
0,0,0,0,0,국가유공자,111,34,26,28,23,25,27,27,29,33,27,30,33,31,34,28,28,28,40,40,26,0,0,0
0,0,0,0,0,어린이,0,52,50,21,9,25,28,20,26,20,13,16,19,19,16,16,18,16,20,41,10,42,0,0
0,0,0,0,0,외국인,0,0,0,25,29,28,31,32,29,33,28,30,32,36,35,29,33,26,33,25,28,0,0,0
0,0,0,0,0,일반인,46,40,34,33,27,27,29,30,32,33,35,37,41,42,41,39,40,41,41,38,31,33,34,31
0,0,0,0,0,장애인,36,37,30,28,26,27,28,30,30,30,32,35,36,37,35,34,34,38,36,32,27,20,25,20
0,0,0,0,0,청소년,20,35,30,14,18,16,16,19,22,22,26,20,28,28,30,27,30,31,30,27,20,22,20,38
0,0,0,2023-12-09(토),맑음,경로,51,39,33,43,34,33,33,31,32,33,35,37,36,36,35,37,38,38,36,28,34,38,38,20
0,0,0,0,0,국가유공자,81,25,36,34,31,33,29,32,27,28,29,26,30,30,26,33,28,26,36,52,30,0,0,0
