,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
242,관악구,신림동,24037,2385,6024,4242,2434279,0.0981739588240184,0.11657291695530494,0.3446479536700934,0.14414364487794065,신림동,17,1.0,4578.0,14.5
243,은평구,신사1동,26761,1986,5162,9417,2637581,0.020010816657652784,0.39551524732703747,0.3741315471980696,0.08557640304530516,신사1동,24,1.0,8015.0,17.19
244,은평구,신사2동,19153,2060,4261,6580,2635300,0.06812152012256642,0.13609356899966368,0.29195471021262287,0.20428982474496468,신사2동,31,1.0,6210.0,15.02
245,관악구,신사동,24630,6143,28917,4211,5099915,0.07283454289145304,0.13078891035346943,0.2827233331592962,0.2117161802328617,신사동1,18,1.0,5117.0,14.59
246,강남구,신사동,15680,2088,4914,4948,2430662,0.04072269589930978,0.25611043442955744,0.3041412911084044,0.15379618351603735,신사동2,14,1.0,7748.0,18.69
247,마포구,신수동,22555,2337,7126,7508,4157605,0.0796275770339171,0.15468853912657948,0.31314564398137884,0.15428951452006207,신수동,24,0.0,7447.0,16.31
248,관악구,신원동,18547,1172,2777,3858,2403237,0.04059955787998059,0.24305817652450531,0.3065185744325228,0.1837493934329002,신원동,10,0.0,3312.0,15.78
249,양천구,신월1동,19852,2238,5875,6314,2227154,0.058331654241386255,0.11918194640338504,0.2697964940560145,0.2302035059439855,신월1동,9,0.0,8200.0,16.06
250,양천구,신월2동,21068,1622,4847,7374,2727225,0.08453578887412189,0.11757167267894438,0.29077273590279096,0.20538257072337193,신월2동,9,0.0,6770.0,15.65
251,양천구,신월3동,14603,1462,5259,4371,2152244,0.06457577210162295,0.12093405464630555,0.26720536875984385,0.22159830171882489,신월3동,11,0.0,5656.0,13.32
252,양천구,신월4동,17590,1605,3977,6145,2639083,0.08817509948834565,0.11193860147811256,0.28254690164866403,0.2083001705514497,신월4동,10,0.0,6426.0,18.1
253,양천구,신월5동,14233,1316,4437,4715,2615553,0.0815007377221949,0.13089299515211128,0.28834398932059296,0.19082414108058737,신월5동,13,0.0,4634.0,15.2
254,양천구,신월6동,13963,2061,3735,5099,2857257,0.09152760868008308,0.10320131776838788,0.331662250232758,0.15211630738380005,신월6동,12,0.0,6987.0,15.28
255,양천구,신월7동,18812,1777,5684,8547,2343943,0.057569636402296405,0.11492664256857325,0.2678609398256432,0.24516266213055496,신월7동,19,0.0,6258.0,19.85
256,양천구,신정1동,19819,1582,6150,6041,5046256,0.1462737776880771,0.10555527524093042,0.28447449417225895,0.14899843584439174,신정1동,28,0.0,8242.0,15.89
257,양천구,신정2동,18971,1560,4330,6119,4725315,0.15597490907174108,0.11417426598492436,0.2702018870908228,0.15117811396341785,신정2동,14,0.0,6277.0,15.01
258,양천구,신정3동,50151,3433,10739,15440,3158844,0.10765488225558813,0.12121393391956292,0.28043309206197287,0.16847121692488684,신정3동,60,1.0,16268.0,15.81
259,양천구,신정4동,32653,4593,17802,10151,2609700,0.06327136863381619,0.15732091997672495,0.29942118641472454,0.19535724129482743,신정4동,18,1.0,9028.0,15.07
260,양천구,신정6동,23933,1044,6577,7214,5384412,0.14849788994275687,0.1106004261897798,0.2896001337065976,0.13211883173860361,신정6동,19,0.0,8833.0,15.39
261,양천구,신정7동,28492,1555,5264,10861,4094404,0.11487435069493192,0.1056436894566896,0.26874210304646917,0.19433525200056156,신정7동,27,1.0,9145.0,17.23
262,서대문구,신촌동,26777,5275,34964,5570,3331768,0.04653247189752399,0.5070769690405945,0.24140120252455466,0.08115173469768831,신촌동,47,2.0,3881.0,17.52
263,도봉구,쌍문1동,21098,1457,4787,7530,2440535,0.07010143141530002,0.14072423926438524,0.25068726893544413,0.23281827661389706,쌍문1동,44,0.0,6407.0,17.42
264,도봉구,쌍문2동,18139,1680,5781,6473,2430154,0.06395060367164673,0.12222283477589724,0.270136170681956,0.2309939908484481,쌍문2동,15,0.0,4939.0,14.28
265,도봉구,쌍문3동,16707,1307,4323,5022,2438072,0.05626384150356138,0.15065541389836595,0.2796432633028072,0.2161968037349614,쌍문3동,15,0.0,3916.0,16.02
266,도봉구,쌍문4동,18211,907,2236,6835,2968285,0.09955521388171984,0.12289275712481468,0.2663225523035528,0.18878699687002362,쌍문4동,17,0.0,5445.0,17.2
267,마포구,아현동,29038,2417,13499,9091,5237419,0.0704938356636132,0.11571044837798747,0.37499139059163855,0.1266960534472071,아현동,17,2.0,8421.0,18.27
268,성북구,안암동,17439,1927,14353,4022,2896471,0.05527839899076782,0.4212397499856643,0.2162394632719766,0.12449108320431218,안암동,31,1.0,3092.0,16.5
269,강동구,암사1동,34189,2733,6272,10089,2852157,0.06946678756325134,0.1283161250694668,0.2980490801134868,0.19216707128023633,암사1동,13,0.0,10427.0,15.6
270,강동구,암사2동,14963,1200,3806,5214,3688535,0.06696518077925549,0.11835861792421305,0.33676401791084676,0.17496491345318452,암사2동,6,1.0,5015.0,29.76
271,강동구,암사3동,17380,1132,2626,5583,4470889,0.11087456846950518,0.10316455696202531,0.3043728423475259,0.16737629459148445,암사3동,11,0.0,6304.0,21.89
272,강남구,압구정동,25752,5978,36485,8856,5808537,0.10461323392357876,0.10927306616961789,0.2768716992854924,0.20879931655793724,압구정동,23,2.0,12258.0,17.91
273,중구,약수동,16433,1210,4519,6584,3894878,0.05561978944806183,0.11099616625083673,0.28187184324225645,0.25132355625874764,약수동,12,2.0,4730.0,16.01
274,서초구,양재1동,42482,5646,47376,14561,4173236,0.1044442352054988,0.11317734569935502,0.31290899675156536,0.1781460383221129,양재1동,73,1.0,20923.0,21.37
275,서초구,양재2동,21604,7927,51408,6842,3222382,0.06720977596741344,0.1515460099981485,0.356091464543603,0.14807443066098872,양재2동,50,1.0,12982.0,22.53
276,영등포구,양평1동,18477,4862,25006,4229,3508250,0.0543919467446014,0.16609839259620068,0.41402825133950316,0.1338420739297505,양평1동,22,1.0,9745.0,16.84
277,영등포구,양평2동,22725,3692,23744,7115,3672088,0.062134213421342135,0.1662926292629263,0.3902310231023102,0.12316831683168317,양평2동,31,1.0,11895.0,25.8
278,영등포구,여의동,33297,15940,192014,10202,5590853,0.0896176832747695,0.10829804486890711,0.3055230200919002,0.19680451692344655,여의동,63,6.0,20629.0,18.01
279,강남구,역삼1동,35509,22326,176153,11995,3607265,0.03984905235292461,0.20741220535638852,0.45585626179278493,0.10656453293531218,역삼1동,47,7.0,21032.0,12.65
280,강남구,역삼2동,37126,6033,45149,11862,5367397,0.1573560308139848,0.12263642730162151,0.3561385551904326,0.10609815223832354,역삼2동,26,0.0,15266.0,14.28
281,은평구,역촌동,44429,3716,9380,14882,2521877,0.07013437169416373,0.13500191316482477,0.29111616286659614,0.2045735893222895,역촌동,50,0.0,12134.0,17.36
282,마포구,연남동,15229,3103,8438,5648,2980162,0.047869196926915755,0.2153128898811478,0.3513690984306258,0.16186223652242432,연남동,21,0.0,4080.0,15.02
283,서대문구,연희동,37274,3420,13243,11675,3383749,0.061463754896174276,0.23898696142082954,0.2878145624295756,0.16979664109030423,연희동,57,0.0,9990.0,18.81
284,마포구,염리동,17693,1106,5256,3186,4051438,0.09647883343695246,0.16232408297066636,0.34640818402758156,0.12112134742553553,염리동,9,0.0,5236.0,17.14
285,강서구,염창동,41471,3097,16227,13248,4127504,0.10518193436377228,0.13054905837814376,0.3542475464782619,0.11644281546140677,염창동,36,0.0,15499.0,20.45
286,영등포구,영등포동,31338,14943,41886,7586,3570107,0.027027889463271428,0.26479035037334864,0.39712170527793733,0.11302571957368052,영등포동,49,2.0,10571.0,16.81
287,영등포구,영등포본동,22651,1924,6381,6404,3286751,0.05191823760540373,0.1292658160787603,0.2917310494017924,0.20087413359233589,영등포본동,20,1.0,6261.0,16.46
288,송파구,오금동,37799,3613,19900,12963,3510674,0.07886452022540279,0.1258498902087357,0.28162120691023573,0.18952882351384956,오금동,38,1.0,13805.0,15.41
289,구로구,오류1동,23432,1733,5168,6927,2574851,0.04784055991806077,0.18082109935131443,0.3352253328781154,0.1853448275862069,오류1동,14,1.0,6882.0,20.39
290,구로구,오류2동,38189,2420,8474,13985,2781178,0.10492550210793684,0.11165518866689361,0.2854486894131818,0.20270234884390792,오류2동,58,1.0,14046.0,16.12
291,송파구,오륜동,17870,728,4992,5543,6095160,0.14224958030218243,0.10828203693340795,0.26194739787353105,0.17946278679350866,오륜동,24,3.0,6680.0,13.44
292,성동구,옥수동,25698,1506,4717,9899,4836487,0.06377928243443069,0.09708926764728773,0.35430772822787765,0.17125846369367265,옥수동,40,2.0,8857.0,17.4
293,성동구,왕십리2동,16508,1232,2948,5060,3474994,0.06505936515628787,0.14338502544220985,0.3186333898715774,0.16555609401502303,왕십리2동,14,1.0,4485.0,17.01
294,성동구,왕십리도선동,26830,3234,11495,8480,4015131,0.061721953037644425,0.15941110696980992,0.3186358553857622,0.15128587402161758,왕십리도선동,26,0.0,8066.0,15.35
295,마포구,용강동,21690,4088,23581,7309,4787212,0.1000461041954818,0.09617335177501153,0.3644997694790226,0.14310742277547256,용강동,23,1.0,9488.0,23.33
296,성동구,용답동,12915,2497,12834,2504,2484354,0.04529616724738676,0.24258614014711577,0.278358497870693,0.17692605497483546,용답동,11,3.0,7795.0,18.77
297,용산구,용문동,11577,963,2159,4231,3568910,0.056404940830957935,0.1439923987216032,0.30837004405286345,0.19469638075494514,용문동,17,2.0,3368.0,12.95
298,용산구,용산2가동,10229,844,2129,3243,2540319,0.04878287222602405,0.16081728419200314,0.34206667318408446,0.2048098543357122,용산2가동,27,1.0,2124.0,17.51
299,동대문구,용신동,40016,6982,30470,8495,2894254,0.04918032786885246,0.1957716913234706,0.3245951619352259,0.1636345461815274,용신동,38,5.0,10209.0,17.47
300,강북구,우이동,20118,1557,5515,7122,2457144,0.0629287205487623,0.1175564171388806,0.2562879013818471,0.2525101898797097,우이동,34,3.0,5875.0,20.06
301,강서구,우장산동,44041,2508,7147,13395,4135674,0.1243613905224677,0.11968393088258668,0.3097795236257124,0.1477486887218728,우장산동,28,1.0,13841.0,16.34
302,용산구,원효로1동,17837,2634,12179,5251,4450695,0.05690418792397825,0.1674048326512306,0.40371138644390875,0.11896619386668161,원효로1동,23,0.0,6336.0,15.87
303,용산구,원효로2동,13792,1564,7229,4631,3817026,0.07359338747099768,0.14131380510440836,0.31337006960556846,0.17727668213457076,원효로2동,23,0.0,5039.0,20.94
304,노원구,월계1동,21384,1921,6647,7568,2777397,0.07332585110362888,0.19234006734006734,0.25121586232697346,0.20613542835765059,월계1동,44,0.0,6728.0,17.44
305,노원구,월계2동,25745,1436,3961,11477,2728093,0.0743833754127015,0.10883666731404155,0.2600504952417945,0.24280442804428043,월계2동,40,1.0,7806.0,19.47
306,노원구,월계3동,28989,1536,4525,12688,3110675,0.06633550657145813,0.11200800303563421,0.2936976094380627,0.2264307150988306,월계3동,24,1.0,8861.0,21.09
307,성북구,월곡1동,25909,1841,5848,8267,3294213,0.09494770157088271,0.11177583079238874,0.2893589100312633,0.1958392836466093,월곡1동,21,0.0,7481.0,15.29
308,성북구,월곡2동,19652,2162,11083,5672,3138026,0.07302055770405048,0.19341542845511908,0.2695399959291675,0.19438225117036434,월곡2동,27,2.0,5277.0,20.8
309,송파구,위례동,44922,1264,5146,9962,4202887,0.13670361960731936,0.09478651885490405,0.361604559013401,0.0843462000801389,위례동,58,0.0,15102.0,18.42
310,관악구,은천동,33014,2434,7925,10519,3063077,0.07814866420306536,0.15917489549887925,0.30387108499424487,0.1898588477615557,은천동,42,0.0,8686.0,14.37
311,중구,을지로동,3206,9784,31528,422,3082514,0.024329382407985028,0.16063630692451653,0.42420461634435436,0.15470991890205865,을지로동,17,4.0,1610.0,15.24
312,성동구,응봉동,15042,682,1162,5322,3858472,0.10105039223507513,0.11182023667065549,0.31205956654700173,0.17464432921154102,응봉동,33,1.0,4547.0,18.35
313,은평구,응암1동,33075,2605,8853,7341,2726133,0.08,0.13027966742252456,0.3291912320483749,0.16967498110355253,응암1동,23,0.0,9505.0,15.96
314,은평구,응암2동,27782,1284,3096,9263,3510245,0.09304585702973148,0.09016629472320208,0.35850550716291124,0.15470448491829242,응암2동,35,0.0,8786.0,15.39
