Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
0,0,0,0,0,어린이,0,1,15,6,2,6,7,7,8,4,3,3,4,4,3,4,5,4,4,8,5,0,0,0
0,0,0,0,0,외국인,0,0,0,11,10,15,8,5,7,8,9,9,8,10,9,10,8,9,10,6,7,0,0,0
0,0,0,0,0,일반인,11,12,13,12,9,9,9,10,10,10,11,12,13,14,15,15,15,14,14,13,10,11,12,10
0,0,0,0,0,장애인,9,11,10,10,8,8,8,9,9,9,10,11,12,12,13,13,14,13,12,10,9,12,14,14
0,0,0,0,0,청소년,12,16,10,4,4,5,5,5,6,6,6,6,7,8,9,9,10,10,10,9,7,6,0,0
0,0,0,2023-12-12(화),맑음,경로,9,11,12,11,10,9,9,9,9,9,11,12,12,12,12,13,13,14,12,11,8,14,13,10
0,0,0,0,0,국가유공자,0,11,8,11,6,9,7,8,7,11,11,10,11,11,12,10,11,11,6,11,5,0,0,14
0,0,0,0,0,어린이,0,8,12,7,2,6,7,7,8,5,3,3,4,4,3,4,5,4,4,3,5,0,0,0
0,0,0,0,0,외국인,0,0,0,17,9,6,7,8,8,11,12,8,9,11,8,10,9,10,8,8,0,0,0,0
0,0,0,0,0,일반인,11,12,13,12,9,9,9,9,10,10,11,12,13,14,14,15,15,15,15,13,11,11,12,10
0,0,0,0,0,장애인,9,11,10,9,9,8,8,9,9,9,10,11,11,12,12,13,14,13,12,10,8,7,8,7
0,0,0,0,0,청소년,8,12,10,4,5,5,4,5,8,8,7,9,6,8,9,9,10,10,10,10,8,9,7,4
0,0,0,2023-12-13(수),맑음,경로,8,11,12,11,10,9,9,9,9,10,11,12,12,12,12,13,13,13,12,10,7,8,12,9
0,0,0,0,0,국가유공자,10,12,7,10,8,8,9,8,8,12,8,11,10,10,13,10,11,12,12,13,4,0,0,0
0,0,0,0,0,어린이,0,0,6,7,4,8,5,6,7,4,4,4,4,4,3,4,5,5,5,6,7,0,0,0
0,0,0,0,0,외국인,0,0,0,23,20,11,6,8,8,8,10,7,9,8,7,8,10,10,9,8,0,0,0,0
0,0,0,0,0,일반인,12,13,13,12,9,9,9,9,10,10,11,12,13,14,14,15,15,15,14,13,11,12,11,11
0,0,0,0,0,장애인,9,10,10,9,8,8,9,9,9,9,10,10,11,12,12,13,12,13,12,11,5,11,13,8
0,0,0,0,0,청소년,5,16,10,4,6,4,5,6,6,7,8,7,7,8,9,9,10,11,11,9,8,13,17,6
0,0,0,2023-12-14(목),강우,경로,10,11,12,11,10,9,9,9,9,10,11,12,12,12,12,13,13,13,13,10,6,12,12,9
0,0,0,0,0,국가유공자,0,9,8,10,8,8,9,9,10,8,10,9,13,10,11,9,10,9,11,10,6,0,0,0
0,0,0,0,0,어린이,0,8,10,8,3,9,6,7,10,5,3,3,4,4,3,4,5,5,4,6,9,0,0,0
0,0,0,0,0,외국인,0,0,8,23,10,9,10,8,9,7,7,7,9,9,9,8,8,10,8,6,4,0,0,0
0,0,0,0,0,일반인,12,13,13,12,9,8,9,10,10,10,11,12,13,14,14,14,15,15,15,13,11,10,10,9
0,0,0,0,0,장애인,10,11,10,9,8,8,9,9,9,9,10,11,12,12,12,12,14,13,12,11,10,15,11,8
0,0,0,0,0,청소년,22,14,11,4,5,5,5,7,7,7,9,7,6,7,8,9,10,10,10,11,8,9,0,5
0,0,강동구,2023-12-01(금),맑음,경로,9,11,11,11,10,10,10,9,9,8,9,9,10,9,9,10,10,10,9,7,4,10,0,5
0,0,0,0,0,국가유공자,4,12,13,13,8,15,14,16,14,10,17,18,14,12,10,3,6,7,3,10,0,0,0,0
0,0,0,0,0,어린이,0,0,12,9,4,5,7,12,8,4,7,5,4,5,4,3,4,5,6,4,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,8,1,13,16,3,4,0,3,0,25,0,0,14,41,0,0,0,0,0,0
0,0,0,0,0,일반인,11,13,15,14,11,10,10,10,10,9,9,9,11,11,10,9,9,9,9,8,7,9,9,7
0,0,0,0,0,장애인,8,11,11,10,8,8,8,8,8,8,8,8,8,9,8,7,8,8,7,7,5,20,0,11
0,0,0,0,0,청소년,0,19,13,5,9,7,7,5,6,7,5,4,5,5,5,5,6,5,4,6,5,1,2,2
0,0,0,2023-12-02(토),맑음,경로,9,11,10,11,13,12,12,10,10,10,10,11,10,9,9,10,12,10,10,7,5,0,0,13
0,0,0,0,0,국가유공자,6,13,13,14,11,10,11,8,7,8,10,9,9,7,7,8,4,10,6,3,2,0,0,0
0,0,0,0,0,어린이,0,0,12,8,10,9,9,8,8,7,7,7,6,5,5,5,7,12,12,1,5,0,0,0
0,0,0,0,0,외국인,0,0,0,35,0,0,0,15,12,9,0,0,0,0,5,24,0,13,20,0,0,0,0,0
0,0,0,0,0,일반인,12,12,11,12,11,11,11,11,11,10,11,11,11,10,9,10,10,10,10,8,6,8,8,7
0,0,0,0,0,장애인,11,11,9,8,10,10,10,9,9,9,10,9,10,7,8,9,9,9,8,6,7,8,0,0
0,0,0,0,0,청소년,2,28,23,12,10,6,7,7,6,5,6,6,6,5,5,5,5,8,5,5,4,3,0,0
0,0,0,2023-12-03(일),맑음,경로,8,11,10,12,13,13,11,10,9,10,10,10,10,9,10,10,10,9,8,5,7,17,6,11
0,0,0,0,0,국가유공자,0,13,10,10,7,13,11,8,9,9,8,7,7,6,7,6,6,6,5,1,0,0,0,0
0,0,0,0,0,어린이,0,0,4,9,9,9,8,8,8,7,7,8,6,6,5,4,4,4,2,2,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,11,15,0,0,2,0,0,15,0,0,0,3,0,12,1,0,0,0,0,0
0,0,0,0,0,일반인,12,13,11,12,11,10,11,11,10,10,10,10,10,10,9,10,10,10,10,7,5,9,8,8
0,0,0,0,0,장애인,12,10,10,12,10,10,8,10,8,9,9,8,8,8,8,8,7,7,6,7,5,0,0,5
0,0,0,0,0,청소년,42,34,23,15,9,7,7,7,6,5,6,6,6,5,6,7,5,5,4,4,3,2,1,2
0,0,0,2023-12-04(월),맑음,경로,9,12,11,11,10,10,10,9,9,8,9,10,10,9,9,9,11,8,9,6,6,12,14,8
0,0,0,0,0,국가유공자,16,18,11,14,9,12,14,17,16,13,18,19,16,14,6,7,7,7,5,0,0,0,14,0
0,0,0,0,0,어린이,0,54,5,8,3,4,8,6,2,6,3,3,3,3,4,3,3,4,3,3,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,26,2,12,0,10,0,0,0,12,14,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,10,14,15,14,11,11,10,10,10,9,9,9,10,11,11,9,10,9,9,8,6,12,12,8
0,0,0,0,0,장애인,8,11,10,10,8,8,9,9,8,7,8,8,8,9,8,7,9,7,5,5,6,15,0,12
0,0,0,0,0,청소년,23,17,14,4,4,6,9,5,7,6,5,4,4,4,5,4,5,4,4,5,3,1,1,1
0,0,0,2023-12-05(화),맑음,경로,9,11,11,11,10,10,11,10,9,8,9,10,10,9,9,10,11,10,8,7,4,13,9,6
0,0,0,0,0,국가유공자,11,9,12,12,9,13,16,16,17,13,17,19,18,10,5,4,6,5,4,9,0,0,0,0
0,0,0,0,0,어린이,0,0,13,8,6,10,12,9,4,5,3,4,4,3,3,4,4,3,8,0,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,8,0,11,57,14,17,0,13,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,11,14,15,14,11,11,10,10,10,9,9,9,10,11,10,9,9,10,9,8,7,9,11,9
0,0,0,0,0,장애인,9,11,11,10,8,9,9,8,8,8,8,7,9,9,8,7,8,8,7,7,6,12,0,0
0,0,0,0,0,청소년,0,14,14,4,9,10,7,5,5,5,6,5,4,4,4,4,4,4,4,5,5,9,0,0
0,0,0,2023-12-06(수),맑음,경로,9,11,11,11,10,10,10,10,9,8,9,10,10,9,9,10,11,9,8,8,7,0,6,11
0,0,0,0,0,국가유공자,11,13,13,13,9,14,16,17,14,14,20,19,15,10,6,2,4,6,4,16,0,5,0,0
0,0,0,0,0,어린이,0,0,10,10,5,8,13,9,9,4,4,4,4,3,3,4,3,3,4,8,8,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,51,0,22,19,8,0,0,0,18,0,3,0,0,0,0,0,0,0
0,0,0,0,0,일반인,10,14,15,14,11,11,10,10,10,9,9,9,11,11,10,9,10,9,9,8,7,10,10,9
0,0,0,0,0,장애인,8,11,10,10,8,8,8,8,8,7,8,8,9,10,8,8,10,6,6,8,4,10,0,6
0,0,0,0,0,청소년,15,18,13,5,7,6,5,5,7,5,6,5,4,4,5,4,4,4,4,5,4,0,0,0
0,0,0,2023-12-07(목),맑음,경로,9,11,11,11,10,10,11,10,9,8,9,10,11,9,9,9,10,10,8,7,6,7,12,6
0,0,0,0,0,국가유공자,10,11,11,13,9,15,15,17,16,13,15,18,15,13,5,7,6,6,7,17,10,5,0,0
0,0,0,0,0,어린이,0,5,8,11,5,5,8,5,5,4,4,3,5,3,4,5,4,3,6,0,0,0,0,0
0,0,0,0,0,외국인,0,0,0,0,0,0,0,0,0,21,19,0,9,6,21,0,0,0,0,0,0,0,0,0
0,0,0,0,0,일반인,10,14,15,14,11,11,10,10,10,9,9,9,11,11,10,9,9,9,9,8,7,9,12,9
0,0,0,0,0,장애인,9,11,11,10,9,8,9,8,8,7,8,8,9,8,8,8,7,6,6,8,7,13,12,0
0,0,0,0,0,청소년,9,16,12,5,7,5,5,5,6,6,6,6,4,5,5,4,4,5,4,5,4,11,4,0
0,0,0,2023-12-08(금),맑음,경로,9,11,12,11,10,10,10,9,9,8,10,10,10,9,9,10,11,10,9,6,5,11,4,4
0,0,0,0,0,국가유공자,12,12,12,15,8,13,15,15,15,11,19,17,15,8,6,7,9,8,5,5,0,3,0,0
0,0,0,0,0,어린이,4,0,5,11,3,10,11,3,6,5,4,5,4,5,4,5,3,8,7,4,10,0,0,0
0,0,0,0,0,외국인,0,0,0,33,0,0,3,14,0,0,18,8,0,0,15,0,0,0,0,9,0,0,0,0
0,0,0,0,0,일반인,10,14,15,14,11,10,10,10,10,9,9,10,11,11,10,9,9,10,10,8,6,9,9,8
