Column1,행정구,행정동,인구수,age_10,age_20,age_3040,노약자,사업체수,종사자수,집개수,소득,버스정류장개수,지하철역개수,도로평균속도,1인당자동차등록대수,시내버스노선수,버스승차량
92,강동구,둔촌2동,24387,0.077623324,0.129208185,0.297166523,0.183704433,2063,9942,7962,3414406,29,1,16.37,0.327961619,69,2349328
93,강서구,등촌1동,25121,0.045539588,0.192149994,0.405716333,0.127383464,2720,17753,6384,3322838,15,1,17.12,0.368576092,83,2704772
94,강서구,등촌2동,19541,0.071439537,0.139859782,0.316513996,0.179417635,1211,3972,7009,3352636,9,0,10.23,0.342357095,66,2599056
95,강서구,등촌3동,29726,0.05587701,0.112460472,0.279485972,0.24826751,3261,20336,13522,3403390,49,1,16.32,0.306701204,116,4334008
96,성동구,마장동,22390,0.066592229,0.196784279,0.268378741,0.184948638,4030,12518,6564,3021967,28,1,17.62,0.3830728,44,2087497
97,송파구,마천1동,18316,0.075234767,0.112579166,0.244922472,0.242301813,1419,3006,5299,2435636,13,1,18.21,0.321412972,49,1157991
98,송파구,마천2동,17906,0.061096839,0.116106333,0.246565397,0.242544399,1796,4727,5354,2339431,13,0,17.24,0.320730481,58,2239631
99,중랑구,망우3동,16157,0.057869654,0.131769512,0.253636195,0.226093953,1507,4272,3604,2231082,11,0,14.62,0.326421984,33,1601886
100,중랑구,망우본동,35946,0.05811495,0.127135147,0.303566461,0.197462861,4406,12914,7453,2443681,56,3,20.07,0.311272464,341,5962140
101,마포구,망원1동,19499,0.056464434,0.16257244,0.344581773,0.179393815,2837,6549,7047,2802536,23,0,21.58,0.292527822,12,2139652
102,마포구,망원2동,18232,0.078049583,0.144361562,0.32064502,0.181494076,2043,4844,6467,2912810,35,0,33.16,0.293220711,20,1714382
103,중랑구,면목2동,24069,0.056961236,0.125306411,0.282853463,0.20657277,2477,5975,6489,2322173,23,0,19.92,0.309319041,68,2293775
104,중랑구,면목3.8동,25011,0.051657271,0.13981848,0.278357523,0.217624245,2776,7878,6375,2354962,30,0,13.7,0.242893127,84,3763382
105,중랑구,면목4동,18550,0.061347709,0.124420485,0.284528302,0.218436658,2568,4971,5408,2573570,13,1,16.1,0.278921833,58,1772095
106,중랑구,면목5동,14735,0.058228707,0.104445199,0.336002715,0.168849678,1161,3336,4409,2233073,11,0,26.43,0.319714964,68,1542873
107,중랑구,면목7동,21614,0.050707875,0.130656056,0.291015083,0.213148885,1957,4800,6204,2655671,18,0,16.3,0.277412788,79,2160525
108,중랑구,면목본동,33647,0.049632954,0.150622641,0.299372901,0.194073766,3481,7511,8582,2336892,28,1,14.32,0.238416501,95,4679158
109,중구,명동,3510,0.049287749,0.147863248,0.305128205,0.221652422,8849,110506,547,3733600,29,1,14.65,2.219373219,250,7903636
110,강동구,명일1동,25415,0.092189652,0.109423569,0.312610663,0.175093449,2470,7262,8248,3540203,24,1,15.11,0.328192013,82,2431654
111,강동구,명일2동,17253,0.139048281,0.125253579,0.281690141,0.167043413,1468,5403,4629,4514278,13,1,15.7,0.335709732,61,1581860
112,양천구,목1동,30386,0.167412624,0.099980254,0.304811426,0.120384388,3862,23811,7768,5667672,24,2,15.35,0.382840782,127,7362338
113,양천구,목2동,29213,0.07715743,0.14918016,0.328004655,0.157429911,1985,5297,10552,3244963,15,2,17.78,0.29966111,38,2299240
114,양천구,목3동,21451,0.061022796,0.145074822,0.322735537,0.174210992,1931,5170,7164,3101712,8,1,16.47,0.299379982,53,3228713
115,양천구,목4동,24686,0.123065705,0.153771368,0.271327878,0.14299603,1997,4562,7503,3426858,14,0,14.85,0.296483837,52,3161714
116,양천구,목5동,40715,0.1772811,0.098882476,0.294928159,0.128478448,2306,10260,12391,5987821,28,0,16.75,0.351958738,118,5051526
117,종로구,무악동,8040,0.115671642,0.103109453,0.26840796,0.186567164,761,1891,2860,5136717,4,0,12.86,0.347761194,26,603330
118,중랑구,묵1동,33979,0.08631802,0.141646311,0.288590011,0.187527591,2326,6252,10805,3120718,32,0,18.25,0.312369405,107,2588525
119,중랑구,묵2동,18466,0.057781869,0.136629481,0.29183364,0.210711578,2393,4973,5309,2533867,20,1,20.35,0.304343117,39,1172984
120,영등포구,문래동,32390,0.092775548,0.111083668,0.359184934,0.15310281,7922,49600,9046,4019445,42,1,17.21,0.431769065,152,4036961
121,송파구,문정1동,19705,0.070895712,0.144734839,0.311596042,0.168231413,1988,6841,6783,3568357,17,0,14.36,0.552448617,84,1558420
122,송파구,문정2동,28981,0.050688382,0.164142024,0.410372313,0.149442738,13813,93614,5607,4425648,32,3,18.85,0.502467134,168,3070248
123,관악구,미성동,30309,0.068164572,0.14949355,0.280411759,0.207133195,2218,6187,8791,2676537,36,0,14.78,0.276023623,102,5437393
124,강북구,미아동,21657,0.055824906,0.181003832,0.25511382,0.222884056,2337,6971,6555,2318870,27,1,15.5,0.220113589,42,3807428
125,서초구,반포1동,34387,0.119172943,0.118940297,0.36022334,0.125541629,2593,13146,9429,5338302,20,2,16.03,0.341989705,103,3674468
126,서초구,반포2동,18735,0.174859888,0.089991994,0.294422204,0.139097945,539,2333,4702,6812331,19,1,18.34,0.311022151,59,2453358
127,서초구,반포3동,23946,0.140065147,0.108452351,0.296333417,0.143948885,1392,7458,7183,6140775,15,0,18.83,0.326902197,72,7932881
128,서초구,반포4동,19299,0.117259962,0.108347583,0.310793305,0.160526452,4459,30539,6192,5280483,32,3,13.91,0.364889373,30,2941715
129,서초구,반포본동,258,0.127906977,0.112403101,0.282945736,0.158914729,374,1286,3662,5583021,3,1,20.52,4.84496124,38,622211
130,강서구,발산1동,36044,0.137110199,0.120241927,0.289007879,0.149317501,6786,32771,12284,3192517,59,1,16.7,0.387887027,120,4155443
131,서초구,방배1동,16730,0.079318589,0.131918709,0.331201435,0.184160191,2468,17090,5539,4069239,22,1,15.57,0.435325762,31,3028869
132,서초구,방배2동,18229,0.081957321,0.128147457,0.303417631,0.198749246,2784,17750,5306,3864301,36,1,17.98,0.328707005,119,3828299
133,서초구,방배3동,17076,0.100667604,0.115249473,0.279690794,0.19700164,1983,13217,6828,4681587,44,1,14.74,0.41133755,93,3353933
134,서초구,방배4동,23172,0.115484205,0.125064733,0.317063698,0.160668048,3223,14236,7712,4557937,29,0,14.3,0.348696703,55,3486177
135,서초구,방배본동,20622,0.13538939,0.119241587,0.290757444,0.160459703,2459,10660,5743,4856162,21,0,14.64,0.383570944,23,2172467
136,송파구,방이1동,15275,0.097937807,0.139378069,0.299312602,0.157512275,1963,8979,4921,3970520,12,1,15.39,0.448837971,37,1259641
137,송파구,방이2동,26695,0.04158082,0.198501592,0.387226072,0.141224948,5121,21736,8214,2928271,13,1,15.09,0.293613036,59,2451964
138,도봉구,방학1동,28013,0.073108914,0.127797808,0.250169564,0.227251633,2996,13758,8331,2895702,31,1,15.87,0.365330382,109,3788696
139,도봉구,방학2동,18893,0.067326523,0.117662626,0.235960409,0.250780712,1576,3226,6149,2099146,23,0,15.85,0.256232467,51,2406752
140,도봉구,방학3동,26259,0.097261891,0.107658327,0.254084314,0.215316653,1476,3861,9698,2962092,26,0,17.52,0.318824022,80,3089552
141,강서구,방화1동,42512,0.101383139,0.108628152,0.312617614,0.171528039,3658,11304,13673,3407916,43,2,15.68,0.352182913,89,1963023
142,강서구,방화2동,23036,0.055608613,0.13669908,0.301267581,0.224778607,3860,16238,7532,2708397,36,7,30.97,0.405843028,275,1698040
143,강서구,방화3동,22199,0.062300104,0.090904996,0.302355962,0.258480112,1287,4689,9698,3044446,21,1,22.96,0.330465336,37,683707
144,강북구,번1동,18417,0.049790954,0.179508063,0.285877179,0.208665906,2486,10192,4529,2303972,23,1,14.19,0.259597111,92,7617462
145,강북구,번2동,15055,0.057256725,0.126735304,0.237794753,0.279375623,912,3732,6723,2308539,42,0,18.59,0.2405181,46,3214348
146,강북구,번3동,16505,0.067615874,0.10645259,0.230475613,0.29960618,1126,3302,7257,2548326,35,0,17.68,0.271311724,35,2469012
147,용산구,보광동,13585,0.048951049,0.14228929,0.318733898,0.198895841,1155,2365,3588,2545653,13,0,17.84,0.226131763,23,2140642
